Feature,Score
cat__Developer_UFO Interactive,0.000494606223717664
cat__Publisher_Hudson Soft,0.0004927178839523316
cat__Name_High School Musical: Sing It!,0.0004913633436656184
cat__Developer_Jupiter Corporation,0.0004911757342460632
cat__Publisher_MTV Games,0.000490636545204981
cat__Publisher_Cave,0.0004891884481670328
cat__Developer_Altron,0.00048775808271428467
cat__Developer_EA Seattle,0.0004874624937966088
cat__Name_UFC Undisputed 3,0.000487351970610006
cat__Name_Dancing with the Stars: We Dance!,0.000487227536648982
cat__Developer_Vicious Cycle,0.00048632227477007905
cat__Name_NCAA Basketball 10,0.0004856505446400039
cat__Name_Assassin's Creed IV: Black Flag,0.0004849355815992329
cat__Publisher_Minato Station,0.00048423936116359645
cat__Publisher_Zushi Games,0.0004833070157606034
cat__Name_Guitar Hero: Warriors of Rock,0.0004824821945090818
cat__Name_Generator Rex: Agent of Providence,0.0004812198686695579
cat__Developer_Take-Two Interactive,0.000481068030525722
cat__Developer_Zipper Interactive,0.00047951077904928585
cat__Name_Rugby League Live 3,0.00047795365594860417
cat__Publisher_Microids,0.000476700844524669
cat__Name_Pro Evolution Soccer 2008,0.0004761594443916106
cat__Name_Thor: God of Thunder,0.0004741501435950868
"cat__Developer_Terminal Reality, 4mm Games",0.0004729586926505158
cat__Name_Def Jam Rapstar,0.0004729586926505158
cat__Name_Cabela's Survival: Shadows of Katmai,0.00047257037974035576
cat__User_Score_6.7,0.0004708530540161737
cat__Name_Dark Sector,0.00047022850121325455
cat__Name_Crash of the Titans,0.00046704489108961855
cat__Name_Power Rangers Samurai,0.00046618551799837427
cat__Name_FIFA Soccer 08,0.00046590628266363066
cat__Name_[Prototype],0.0004656749376281688
cat__Publisher_Comfort,0.00046509343094924827
cat__Developer_Infinite Interactive,0.0004650159704749912
cat__Name_The Godfather II,0.00046240039148914835
cat__Name_The Legend of Spyro: Dawn of the Dragon,0.00046088144288758404
cat__Name_Scene It? Bright Lights! Big Screen!,0.00045900026140854866
cat__Name_The Incredible Hulk,0.00045729865739385644
cat__Developer_Shiny Entertainment,0.0004560615851622041
cat__Name_WWE SmackDown vs Raw 2008,0.00045546289181863653
cat__Name_Sherlock Holmes: The Devil's Daughter,0.0004534447745816461
cat__Name_Tennis,0.00045117965028584894
cat__Developer_Volition Inc.,0.0004494218292743213
cat__Developer_Inti Creates,0.0004492981769248505
"cat__Name_Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",0.00044881718234668355
cat__Name_FIFA Soccer 13,0.00044809251033806063
cat__Name_Cartoon Network: Punch Time Explosion XL,0.0004477611921163138
cat__Developer_Crytek,0.0004452066028967083
cat__Developer_Retro Studios,0.0004430640582891998
cat__Name_Just Dance: Disney Party 2,0.0004429798397307394
cat__Publisher_Neko Entertainment,0.00044145529282191287
cat__Name_Ben 10 Galactic Racing,0.0004412077698765504
cat__Name_The Golden Compass,0.00044054413284866367
cat__Name_NBA 09: The Inside,0.0004404554393202531
cat__Name_Star Wars: The Force Unleashed,0.0004404399159351202
cat__Name_WWE 2K14,0.00043785247197591914
cat__Developer_Sidhe Interactive,0.0004377814659690671
cat__Developer_Rockstar San Diego,0.0004372781999075759
cat__Name_MySims Agents,0.0004368939955755602
cat__Name_Let's Dance with Mel B,0.0004360974100036108
cat__Name_Iron Man 2,0.0004359400761567711
cat__User_Score_5.9,0.00043556507582498405
cat__Name_Monster High: New Ghoul in School,0.00043505512067165686
cat__Name_Legend of Kay,0.0004343148814137665
cat__Developer_Rocksteady Studios,0.00043425126387164337
cat__Developer_Omega Force,0.0004333896191033304
cat__Developer_Big Ant Studios,0.00043274188765518584
cat__Developer_Sucker Punch,0.0004324121086727306
cat__Developer_Sensory Sweep,0.0004321799509583446
cat__Name_Guitar Hero 5,0.0004294023406895553
cat__Developer_Sonic Powered,0.000428788279738912
cat__Publisher_Zoo Games,0.0004281036510892511
cat__Name_Risen 3: Titan Lords,0.00042598470735488725
cat__Name_Saban's Power Rangers: Lightspeed Rescue,0.0004259479728179194
cat__Name_Disney Infinity 3.0,0.0004252536463771328
cat__Developer_Double Helix Games,0.0004251503901038234
cat__Developer_The Sims Studio,0.0004248887563740311
cat__Developer_Tecmo,0.0004214228918550944
